Instrument Name,Number Of Lots,Stoploss %,Target %,Intermediate Target %,Low Volatility Start Time,Low Volatility Exit Time,Low Volatility Target %
CRUDEOILM,1,0.2,0.4,0.2,15:00:00,16:20:00,0.05
SILVERMIC,1,0.2,0.4,0.2,15:00:00,16:20:00,0.05
